 Starting simulation with          108  atoms for       10000  steps
     NFI           TEMP                 EKIN                  EPOT                ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890134          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574057        -155.66814504        -137.21240447
    2200          60.48709291          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944722        -137.27630821
    2400          59.52572192          18.98553110        -156.33952786        -137.35399675
    2500          58.92686583          18.79452795        -156.03041540        -137.23588745
    2600          61.65941060          19.66606402        -156.94491184        -137.27884783
    2700          58.81987812          18.76040457        -156.07031128        -137.30990671
    2800          53.15475442          16.95353220        -154.26693032        -137.31339812
    2900          54.95193292          17.52673631        -154.82877245        -137.30203614
    3000          55.99963540          17.86089753        -155.23428946        -137.37339193
    3100          56.97369959          18.17157207        -155.46229979        -137.29072772
    3200          54.82660900          17.48676466        -154.82425977        -137.33749511
    3300          58.17829160          18.55577268        -155.99088372        -137.43511103
    3400          57.28760778          18.27169204        -155.64132046        -137.36962842
    3500          55.43527250          17.68089586        -155.09613483        -137.41523897
    3600          55.08688307          17.56977821        -155.00142094        -137.43164273
    3700          56.84774384          18.13139890        -155.56340848        -137.43200958
    3800          51.62383069          16.46524917        -153.98188772        -137.51663855
    3900          52.18970107          16.64573164        -154.10775435        -137.46202271
    4000          52.04675416          16.60013920        -153.99313059        -137.39299139
    4100          56.74195769          18.09765876        -155.56859244        -137.47093368
    4200          51.99607442          16.58397507        -154.04218779        -137.45821272
    4300          51.52464764          16.43361506        -153.89612876        -137.46251370
    4400          53.09163896          16.93340174        -154.37683809        -137.44343635
    4500          55.28403487          17.63265912        -154.99778904        -137.36512992
    4600          50.51615699          16.11196032        -153.47649970        -137.36453938
    4700          54.84322610          17.49206463        -154.83274995        -137.34068532
    4800          51.59943818          16.45746926        -153.91176443        -137.45429518
    4900          44.19434434          14.09563920        -151.43835758        -137.34271838
    5000          51.72838139          16.49859527        -153.94135895        -137.44276368
    5100          51.89302714          16.55110848        -153.96207885        -137.41097037
    5200          52.11351592          16.62143264        -153.93831104        -137.31687839
    5300          54.55817147          17.40114740        -154.81192032        -137.41077292
    5400          51.13622612          16.30972931        -153.64990623        -137.34017692
    5500          49.35388675          15.74125809        -153.01507959        -137.27382150
    5600          54.67318691          17.43783120        -154.78193344        -137.34410224
    5700          52.61146204          16.78025090        -154.18726540        -137.40701449
    5800          52.09284882          16.61484094        -153.99847872        -137.38363778
    5900          49.05981562          15.64746508        -153.01875386        -137.37128878
    6000          48.55574069          15.48669206        -152.82305994        -137.33636788
    6100          56.42623383          17.99695968        -155.46723852        -137.47027883
    6200          53.67397499          17.11913588        -154.56624829        -137.44711241
    6300          56.35859665          17.97538703        -155.41056164        -137.43517461
